-0.835,-0.161,0.273
1.269,0.08,0.177
-0.53,-1.012,0.08
0.9,0.61,0.369
-1.526,0.048,0.177
1.173,-0.08,0.112
-0.321,1.076,0.353
-0.578,-0.835,0.45
1.124,-0.209,-0.161
-0.739,0,0.321
0.145,0.948,0.466
-0.771,-0.739,0
1.14,0.321,0.048
1.076,-0.305,0
-0.578,0.386,0.867
1.173,-0.45,0.193
-0.643,0.659,1.157
0.45,0.916,0.498
-0.948,-0.771,0.032
0.932,0.626,0.402
-0.851,-0.884,0.177
0.916,0.643,0.289
-1.173,0.096,0.771
0.755,-0.659,0.402
-1.526,-0.177,0.53
0.032,-0.161,0.948
1.365,0.112,-0.321
-0.032,1.124,0.578
-0.964,-0.305,0.337
-0.948,-0.932,0.032
0.096,-0.546,0.771
0.98,-0.016,0.369
1.349,0.659,0
0.161,0.948,0.851
-0.851,0.064,0.209
-1.221,-0.546,0.08
-0.289,-0.819,0.337
0.996,-0.321,0.161
0.45,0.032,0.835
-0.498,-0.096,0.739
0.257,-0.016,0.594
1.542,0.803,0.145
0.482,0.739,0.466
-0.145,-0.787,0.241
-0.61,0.032,0.867
-0.851,-0.53,0.402
1.414,-0.016,0.209
0.145,1.189,0.514
0.129,-0.562,0.434
-0.145,-0.032,0.803
0.643,-0.032,0.787
0,-0.257,0.9
0.273,0.594,0.916
0.112,-0.884,0.209
0.53,0.851,0.386
-0.048,-0.948,0.257
-0.064,1.044,0.53
0.129,-0.996,0.016
-0.851,-0.45,0.482
0.916,-0.193,0.514
-0.707,-0.289,0.562
1.028,-0.08,0.418
-0.916,-0.37,0.578
0.643,0.305,0.835
-0.803,-0.241,0.691
0.257,0.048,0.723
0.996,-0.113,0.643
-0.98,-0.113,0.803
0.691,-0.177,0.739
-0.643,-0.209,0.643
0.707,0.112,0.835
0.626,0.771,0.289
-0.257,-1.108,0.273
-0.016,0.546,0.723
-0.096,-0.98,0.321
-0.916,-0.386,0.321
0.787,0.064,0.659
-0.98,-0.321,0.45
0.948,0.08,0.546
0.964,0.562,0.209
-0.578,-0.867,0.145
0.723,0.626,0.498
-0.546,-0.691,0.482
-1.012,-0.032,0.321
1.205,-0.321,0.305
-0.402,0.402,0.867
0.851,-0.466,0.594
-0.691,-0.771,0.466
1.012,0.45,0.482
-0.482,-0.707,0.418
0.61,0.482,0.562
-0.964,0.193,0.466
0.835,-0.418,0.61
